tweet,label_bahasa,label_manusia,keterangan,status_validasi
[USERNAME] tapi tugasku on going semua yang selesai cuma beberapa,MIX,MIX,Sesuai,Benar
[USERNAME] #Mardkodardnahihota screening pertamanya di tiff 2018 bulan september kemaren. Bayangkan 5 bulan nunggu nya. Jamuran ga tuh bolly lovers nunggu nya. We can't wait to watch. Pleassssseeeeeee,MIX,ID,Koreksi: Seharusnya ID,Salah
Sebelum nya cek resi 6 hari lalu ..  hasil nya on process...  dan hari ini saya cek ulang keterangannya malah NOT FOUND.  INI GIMANA YA [USERNAME] soalna barang belom sampai ..  customer nya udh ngeluh ajaaa ke saya!!!! [URL],MIX,MIX,Sesuai,Benar
"[USERNAME] ""yaaaaah kok bisa lupa gitu sih? yaah nggak well itu.. kalian berdua ngulang dong...""",ID,ID,Sesuai,Benar
"[USERNAME] WKWKW. Terus ngape? Kicep bat kek putri malu. We've been through sukarno, through suharto. Kalo pun yg ditakuti benar terbukti, ngapain takut. Lawan. Kalo cuma takut si ono kepilih, Itumah lu mau enaknya doang.",MIX,MIX,Sesuai,Benar
EH JELASIN DONG INI JSF LAGI RIBUT APA ASTAGA?? CAN SOMEONE PLS EXPLAIN THIS JSF THINGS I DONT GET IT BECAUSE I DONT UNDERSTAND JAPANESE AND THE AUTO TRANSLATE MIGHT BE WRONG,MIX,MIX,Sesuai,Benar
"Earlier, when I was on my way home from, the ojol driver suddenly ask me out of nowhere: ""Mas, suka bola ga?""..And surprisingly, I was capable to give bare-minimum banters like:..""Oh Indonesia main lawan mana?""..""Emang kualifikasi piala apa?""..""Wah lawan Thailand ya, susah tuh""",MIX,MIX,Sesuai,Benar
[USERNAME] min saya hari ini dijadwalkan untuk mengerjakan tes pukul 9:45 tapi kenapa tidak bisa login yang ada hanya tulisan 404 not found. Lalu bagaimana?,MIX,MIX,Sesuai,Benar
EVER HAS IT BEEN THAT LOVE KNOWS NOT ITS OWN DEPTH UNTIL THE HOUR OF SEPARATION  KAHLIL GIBRAN (Cinta tidak akan pernah diketahui kedalamannya sampai (merasakan) jam-jam perpisahan),MIX,EN,Koreksi: Seharusnya EN,Salah
"G: iya bu, iya..B: please kamu kabari saya kalau emailnya pagi ini kamu terima ya!..G: Siap Bu..(Kemudian cek email masuk)..G: Well accepted ya Bu, saya cek filenya...11.47.B: Btw, sorry dhit, emailnya dr kemarin nyangkut di outbox, belum terkirim...Bhaiquelah~~~~.#SelasaSambat",MIX,MIX,Sesuai,Benar
cumlaude s3 seni clickbait dan misleading caption [URL],ID,EN,Koreksi: Seharusnya EN,Salah
"[USERNAME] Wkwkwk kue bandung gw baru tau lol .Gw sih dulu tau nya ya martabak doaang,  mao martabak telor or manis ya teteup 'martabak' .Makanya pas ada yg bilang terang bulan gw kira kue chinese gt",MIX,MIX,Sesuai,Benar
[USERNAME] I'm not ok.. gak dapet GA iKON dr ko [USERNAME],MIX,ID,Koreksi: Seharusnya ID,Salah
"[USERNAME] Wow aku nya sih okay, kalau dompet not okay",MIX,MIX,Sesuai,Benar
"Dari semalem tau lagi emosi mau buka IG ga bisa, mau hapus something di FB doi ga bisa, ditambah Whatsapp mau kirim gambar susah nemen. Parah  #instagramdown #facebookdown",ID,ID,Sesuai,Benar
[USERNAME] Udh gk ada gorengan lg bos [USERNAME] ...,ID,ID,Sesuai,Benar
"#latepostbingits agains~ hehe. Happy weddings mba [USERNAME] dan Mas Brata..Hopefully your family be a sakinah, mawadah, and warrahmah.... [URL]",MIX,EN,Koreksi: Seharusnya EN,Salah
Pengen deh ketemu temen lama gitu tapi dulu kasarannya cuman sekedar tau atau sekedar kenal. Pengen tau aja cerita hidup orang gimana. Gue percaya sih there must be some insight that could surprise you,MIX,MIX,Sesuai,Benar
"[USERNAME] been there done that, mantan gw di 'unboxing' sama jok sepeda BMX nya",MIX,MIX,Sesuai,Benar
Udh episode 4 tp ini masih abu2 bgt.Hadehh inilah disaat gw ga suka drama on going  [URL],MIX,MIX,Sesuai,Benar
"[USERNAME] Off course not...absolutely not....makna ga ada, pesan moral ga ada, ngehibur juga kaga...mending kapten marpel...kluar 60rb kaga rugii...#sorrynotsorry",MIX,MIX,Sesuai,Benar
[USERNAME] gue kayanya ngomong diakhir2 dah 'so its not what i think ur saying then?' kalo nggak tinggal jawab nggak gituloh. gue ngomong satu hal tbtb lo bales bejibun dan tbtb ada aja yg out of context,MIX,MIX,Sesuai,Benar
"Penang Food Rocks ! Even in Jakarta ! But the menu not very Penang le ! #penangfood #penang @ Jakarta, Indonesia [URL]",EN,EN,Sesuai,Benar
"[USERNAME] jam 3 subuh bikin mikir but okay...kayaknya sihhh bisa, soalnya itu kayak mempengaruhi indera perasa kita tapi bukan alat gerak jadi kita bisa gerak bebas. well orang disantet masih bisa bangun ga sih? idk man",MIX,MIX,Sesuai,Benar
"Down nya jangan lama2 sedih nya jangan lama2. Tuhan gasuka ..Gue bangkit kok, harga benda msh bisa dicari tapi nyawa engga. .Puji Tuhan masih diberi keselamatan semua nya tanpa luka sedikitpun",ID,ID,Sesuai,Benar
"Akhirnya bisa juga bikin not balok sekalian not angkanya..#udarulli #msischool #musisi #notasimusik #teorimusik #gurumusik #sekolahmusik #kursusmusik #kuliahmusik @ Jakarta, Indonesia [URL]",MIX,MIX,Sesuai,Benar
[USERNAME] Not biased tp disini dia keren + cantik banget gila,MIX,MIX,Sesuai,Benar
"[USERNAME] Case per case basis ya non. Karena gue gak terlalu attach dgn keluarga, dengan senang hati malah. Tapi mungkin faktor kerja, bisa dilihat dulu, ngga mungkin downgrade dong. Kalau dia anak sultan, why not? Bisa rintis usaha, apalagi era 4.0, usaha udah gak landed base.",MIX,EN,Koreksi: Seharusnya EN,Salah
Top 20 questions that annoys people: mas password wifi apa ya,MIX,MIX,Sesuai,Benar
"Eksperimen butter rolls, walaupun ada yg ke lupa stepnya tapi not bad lah besok bisa coba lagi. Gagal itu biasa~ [URL]",MIX,MIX,Sesuai,Benar
"Heran sama Sarah. Giliran ngetweet feel free to unfollow, eh malah dia baru follback",MIX,MIX,Sesuai,Benar
